"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","de","gene_len","seq","blast","diamond","pfam_acc","pfam_descr","ipr_acc","ipr_descr","GO","anno"
"1555","g14949",2.28222358550228,2.48823677464258,5.99469395803719,1.2085545844688e-06,1.21747335386739e-05,"FB",1817,"scaffold_324",NA,NA,NA,NA,NA,NA,NA,"N"
"1556","g1969",2.0264810150098,4.1370927958855,5.9946489364732,1.20869555197962e-06,1.21747335386739e-05,"FB",1475,"scaffold_218","VGLU1_XENLA","A0A482WG03","PF07690","Major Facilitator Superfamily","IPR011701","Major facilitator superfamily","GO:0016021;GO:0055085","Y"
"1557","g12304",-1.64633298741886,6.7239641769671,-5.9898637803287,1.2237744548476e-06,1.23187007262854e-05,"MB",2412,"scaffold_492",NA,NA,NA,NA,NA,NA,NA,"N"
"1558","g23070",4.1047928039868,0.835121057720428,5.98953854532457,1.22494042707921e-06,1.23225233078386e-05,"FB",3898,"scaffold_82","FGFR1_HUMAN","A0A1W4X2U0","PF01833;PF07714;PF01403","IPT/TIG domain; Protein tyrosine kinase; Sema domain","IPR002909;IPR001245;IPR001627","IPT domain; Serine-threonine/tyrosine-protein kinase, catalytic domain; Sema domain","GO:0004672;GO:0006468;GO:0005515","Y"
"1559","g3220",-2.50103273904321,2.94891294036172,-5.98484240303742,1.23980277896688e-06,1.2464033967125e-05,"MB",625,"scaffold_12","CP6A9_DROME","E0VV70","PF00067","Cytochrome P450","IPR001128","Cytochrome P450","GO:0005506;GO:0016705;GO:0020037;GO:0055114","Y"
"1560","g7955",2.06714455897271,5.08598701168147,5.98044686336047,1.25400779024448e-06,1.25987590362191e-05,"FB",3165,"scaffold_323","VGR_SOLIN",NA,"PF00057","Low-density lipoprotein receptor domain class A","IPR002172","Low-density lipoprotein (LDL) receptor class A repeat","GO:0005515","Y"
"1561","g6649",-2.543389128449,1.82492475035822,-5.9714750061127,1.28351608142425e-06,1.28869619116991e-05,"MB",459,"scaffold_347",NA,"J9K4T1",NA,NA,NA,NA,NA,"Y"
"1562","g22619",1.637396677734,2.92862162280429,5.96486163301589,1.30571667645023e-06,1.31014708514753e-05,"FB",824,"scaffold_6",NA,NA,"PF00201","UDP-glucoronosyl and UDP-glucosyl transferase","IPR002213","UDP-glucuronosyl/UDP-glucosyltransferase","GO:0016758","Y"
"1563","g22670",1.91179790802688,2.296022095638,5.9639733263388,1.30872815256685e-06,1.31232862029304e-05,"FB",1701,"scaffold_6",NA,"A0A139WIW7","PF00201","UDP-glucoronosyl and UDP-glucosyl transferase","IPR002213","UDP-glucuronosyl/UDP-glucosyltransferase","GO:0016758","Y"
"1564","g11621",3.09145887349672,4.65093645731775,5.96189123285799,1.31581785407882e-06,1.3185941960983e-05,"FB",596,"scaffold_903",NA,NA,NA,NA,NA,NA,NA,"N"
"1565","g1935",2.53021927147091,4.03090302824686,5.96021820138541,1.32153652648032e-06,1.32347872073649e-05,"FB",2902,"scaffold_218",NA,NA,NA,NA,NA,NA,NA,"N"
"1566","g7070",3.76548785334396,0.20548466836453,5.95672739399127,1.33361322188419e-06,1.33472030821142e-05,"FB",620,"scaffold_79",NA,NA,NA,NA,NA,NA,NA,"N"
"1567","g17103",3.3387564271981,1.8809573849375,5.95562399563024,1.33739114676105e-06,1.33764718846113e-05,"FB",1781,"scaffold_219",NA,NA,"PF13894;PF00096","C2H2-type zinc finger; Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","GO:0003676","Y"
"1568","g17370",2.8966783203351,-1.12485562995927,5.95312812396003,1.34606830538538e-06,1.34546738203476e-05,"FB",1578,"scaffold_183",NA,NA,NA,NA,NA,NA,NA,"N"
"1569","g7971",2.03709866645192,1.01715929755767,5.95222047975428,1.34924051796454e-06,1.34777862575259e-05,"FB",328,"scaffold_323",NA,NA,NA,NA,NA,NA,NA,"N"
"1570","g19775",-1.58774081008372,4.94235306310486,-5.94809432430179,1.3637627748597e-06,1.36141745034243e-05,"MB",710,"scaffold_60",NA,NA,"PF01612","3'-5' exonuclease","IPR002562","3'-5' exonuclease domain","GO:0003676;GO:0006139;GO:0008408","Y"
"1571","g2605",-1.61542154139199,6.69016698917242,-5.94550081449877,1.37297170918588e-06,1.3697381029962e-05,"MB",2754,"scaffold_90",NA,"J9LII4","PF14939","DDB1-and CUL4-substrate receptor 15, WD repeat","IPR032734","DDB1- and CUL4-associated factor 15, WD40 repeat-containing domain",NA,"Y"
"1572","g23049",4.0399071400487,0.938059496608734,5.94270314456116,1.38310906834468e-06,1.37897381858564e-05,"FB",4070,"scaffold_82","PLXA4_HUMAN","D6W8D3","PF01833;PF01403;PF08337","IPT/TIG domain; Sema domain; Plexin cytoplasmic RasGAP domain","IPR002909;IPR001627;IPR013548","IPT domain; Sema domain; Plexin, cytoplasmic RasGAP domain","GO:0005515","Y"
"1573","g16958",2.77934444612027,1.01834364743017,5.93854080298395,1.39799815170556e-06,1.39293229699181e-05,"FB",1563,"scaffold_55",NA,NA,NA,NA,NA,NA,NA,"N"
"1574","g21733",1.97297436955122,4.49213254770605,5.93743516855136,1.40201533109969e-06,1.39604741323541e-05,"FB",1411,"scaffold_9","MYRO1_BREBR","A0A482XDN5","PF00232","Glycosyl hydrolase family 1","IPR001360","Glycoside hydrolase family 1","GO:0004553;GO:0005975","Y"
"1575","g2827",-2.77252001288523,-0.0427749110077777,-5.93236670958929,1.42058451532495e-06,1.41363943547225e-05,"MB",1094,"scaffold_451","SPOPL_HUMAN","G1SS17","PF00651","BTB/POZ domain","IPR000210","BTB/POZ domain","GO:0005515","Y"
"1576","g15076",1.96281202077457,3.9097382814836,5.92663658842535,1.44187666787363e-06,1.43391706951671e-05,"FB",1613,"scaffold_68","ESTF_MYZPE","J9JNV3","PF00135","Carboxylesterase family","IPR002018","Carboxylesterase, type B",NA,"Y"
"1577","g568",-3.40068887226075,3.76237991970564,-5.92619527450804,1.44354661521741e-06,1.43466747623985e-05,"MB",565,"scaffold_107",NA,NA,NA,NA,NA,NA,NA,"N"
"1578","g21952",-1.51652838220467,8.99349999655509,-5.92397673476831,1.45187004499535e-06,1.44202529880939e-05,"MB",5433,"scaffold_22",NA,"J9JPR4","PF17900;PF11838","Peptidase M1 N-terminal domain; ERAP1-like C-terminal domain","IPR024571","ERAP1-like C-terminal domain",NA,"Y"
"1579","g18776",2.9177612145592,1.19424371042891,5.92085051896569,1.46370686540499e-06,1.45286115905588e-05,"FB",577,"scaffold_114",NA,NA,NA,NA,NA,NA,NA,"N"
"1580","g22621",3.62961463172748,0.364589988992419,5.92012401815539,1.46651026123363e-06,1.45472248888067e-05,"FB",821,"scaffold_6",NA,"A0A2P8ZG59","PF00201","UDP-glucoronosyl and UDP-glucosyl transferase","IPR002213","UDP-glucuronosyl/UDP-glucosyltransferase","GO:0016758","Y"
"1581","g12679",3.75109422093017,-0.498058653627491,5.91805434452905,1.47443538092738e-06,1.46165880615274e-05,"FB",1939,"scaffold_272","MYORG_HUMAN","A0A2P8XH20","PF01055","Glycosyl hydrolases family 31","IPR000322","Glycoside hydrolase family 31","GO:0004553;GO:0005975","Y"
"1582","g8491",-1.433780986669,5.59051533051944,-5.91765550429176,1.47590194725665e-06,1.46218781411843e-05,"MB",1060,"scaffold_583",NA,NA,NA,NA,NA,NA,NA,"N"
"1583","g7669",-1.78223925074592,3.82531249433694,-5.91585822718574,1.48280804543974e-06,1.46810173696633e-05,"MB",5150,"scaffold_92","NALCN_RAT","A0A067QXN4","PF00520","Ion transport protein","IPR005821","Ion transport domain","GO:0005216;GO:0006811;GO:0016020;GO:0055085","Y"
"1584","g6157",-3.88655651133889,-0.673024152852277,-5.91548229618136,1.48435127791992e-06,1.46870186735094e-05,"MB",346,"scaffold_5",NA,"A0A1I7VVH9","PF18701;PF03564;PF05585;PF17921;PF05380","Family of unknown function (DUF5641); Protein of unknown function (DUF1759); Putative peptidase (DUF1758); Integrase zinc binding domain; Pao retrotransposon peptidase","IPR040676;IPR005312;IPR008737;IPR041588;IPR008042","Domain of unknown function DUF5641; Protein of unknown function DUF1759; Peptidase aspartic, putative; Integrase zinc-binding domain; Retrotransposon, Pao",NA,"Y"
"1585","g15273",-1.77686733271014,5.05654962947832,-5.91347676827908,1.49200930794951e-06,1.47534775290175e-05,"MB",551,"scaffold_336",NA,NA,"PF04420","CHD5-like protein","IPR028945","WRB/Get1 family","GO:0071816","Y"
"1586","g1908",-2.83109234193235,4.53872383126855,-5.91287696181431,1.49433683279687e-06,1.47671760280109e-05,"MB",1144,"scaffold_245","TRYP_ASTAS","A0A482WY83","PF00089","Trypsin","IPR001254","Serine proteases, trypsin domain","GO:0004252;GO:0006508","Y"
"1587","g9383",-2.27796635568786,2.01236799198129,-5.90857452537754,1.51113254477579e-06,1.49237431469886e-05,"MB",902,"scaffold_153",NA,NA,NA,NA,NA,NA,NA,"N"
"1588","g10107",3.13240865328058,1.68416861415169,5.90658186626244,1.51898183141574e-06,1.49918150149741e-05,"FB",1587,"scaffold_130","YM67_CAEEL","X1WJF0","PF05577","Serine carboxypeptidase S28","IPR008758","Peptidase S28","GO:0006508;GO:0008236","Y"
"1589","g19103",-3.22864900212345,-1.40263460845248,-5.90360223673493,1.5307911289774e-06,1.50988605188564e-05,"MB",270,"scaffold_38",NA,NA,NA,NA,NA,NA,NA,"N"
"1590","g19089",-7.45125828113301,2.1725016976286,-5.90593804467053,1.53711157355092e-06,1.51516664731218e-05,"MB (FC > 5)",1573,"scaffold_38",NA,"J9JWU1","PF07690;PF00083","Major Facilitator Superfamily; Sugar (and other) transporter","IPR011701;IPR005828","Major facilitator superfamily; Major facilitator,  sugar transporter-like","GO:0016021;GO:0055085;GO:0022857","Y"
"1591","g5160",5.10466068071293,3.35447240199977,5.90145500932118,1.54073966177454e-06,1.5177883544307e-05,"FB (FC > 5)",1661,"scaffold_174","EST6_APIME","J9K2J7","PF00135","Carboxylesterase family","IPR002018","Carboxylesterase, type B",NA,"Y"
"1592","g22652",4.388814163758,-1.02101889689376,5.89817997337856,1.55287253589314e-06,1.52877960144806e-05,"FB",824,"scaffold_6",NA,"A0A2J7R4W8","PF00201","UDP-glucoronosyl and UDP-glucosyl transferase","IPR002213","UDP-glucuronosyl/UDP-glucosyltransferase","GO:0016758","Y"
"1593","g2476",2.02692367268263,6.38023255387411,5.8969843714844,1.55733761323189e-06,1.5322129574503e-05,"FB",598,"scaffold_49","KAD1_CHICK","A0A482WZE1","PF00406","Adenylate kinase",NA,NA,NA,"Y"
"1594","g2836",2.73758165706635,2.06621509138979,5.89412542146296,1.56895386688056e-06,1.54267339746669e-05,"FB",638,"scaffold_537",NA,NA,NA,NA,NA,NA,NA,"N"
"1595","g11104",2.91719239417702,4.48736239124174,5.89336395723687,1.5720635988063e-06,1.54476193003707e-05,"FB",1527,"scaffold_165",NA,NA,NA,NA,NA,NA,NA,"N"
"1596","g2207",1.75283148163764,6.38791785206196,5.89222917448363,1.57670597582917e-06,1.54835292977259e-05,"FB",1458,"scaffold_14","SUCHY_MOUSE","D6WKE1","PF02515","CoA-transferase family III","IPR003673","CoA-transferase family III","GO:0003824","Y"
"1597","g18508",3.28193243425478,1.26601254065432,5.88737788489616,1.59672867430336e-06,1.56703372024775e-05,"FB",882,"scaffold_273",NA,NA,"PF00194","Eukaryotic-type carbonic anhydrase","IPR001148","Alpha carbonic anhydrase domain",NA,"Y"
"1598","g11832",-2.58905443286763,3.8716552329768,-5.87952796311965,1.62964347317993e-06,1.59833555413949e-05,"MB",2249,"scaffold_74",NA,NA,NA,NA,NA,NA,NA,"N"
"1599","g21804",2.99173655746581,6.12204412342427,5.87774319208838,1.63722767115757e-06,1.60476981176063e-05,"FB",1627,"scaffold_541",NA,NA,NA,NA,NA,NA,NA,"N"
"1600","g4195",1.98135982951776,6.27085901765146,5.8760769858519,1.6443349572488e-06,1.61072886156003e-05,"FB",2088,"scaffold_28",NA,"A0A026WMV9","PF00084;PF00629","Sushi repeat (SCR repeat); MAM domain, meprin/A5/mu","IPR000436;IPR000998","Sushi/SCR/CCP domain; MAM domain","GO:0016020","Y"
"1601","g5993",2.26854540691224,7.41772509024418,5.87266605057687,1.65898790978811e-06,1.62406730231786e-05,"FB",643,"scaffold_216",NA,NA,"PF13927;PF00057","Immunoglobulin domain; Low-density lipoprotein receptor domain class A","IPR002172","Low-density lipoprotein (LDL) receptor class A repeat","GO:0005515","Y"
"1602","g21497",-2.43391625363257,-1.29846521159793,-5.8712101147788,1.66528264381951e-06,1.62921191489283e-05,"MB",616,"scaffold_382",NA,NA,NA,NA,NA,NA,NA,"N"
"1603","g17719",-1.95311225558668,0.319069859432287,-5.87028677418979,1.6692871477253e-06,1.63190783853216e-05,"MB",706,"scaffold_136",NA,NA,"PF00335","Tetraspanin family","IPR018499","Tetraspanin/Peripherin","GO:0016021","Y"
"1604","g1482",5.28963471987257,2.34644013624574,5.87054419563318,1.67021211469487e-06,1.63190783853216e-05,"FB (FC > 5)",949,"scaffold_20","GGHA_DICDI","A0A3Q0ILW1","PF07722","Peptidase C26","IPR011697","Peptidase C26","GO:0016787","Y"
"1605","g10933",3.66834567990728,2.37111008399601,5.86986806997938,1.67116192231488e-06,1.63190783853216e-05,"FB",2815,"scaffold_1","TRHDE_MOUSE","E0VS71","PF01433;PF11838;PF17900","Peptidase family M1 domain; ERAP1-like C-terminal domain; Peptidase M1 N-terminal domain","IPR014782;IPR024571","Peptidase M1, membrane alanine aminopeptidase; ERAP1-like C-terminal domain","GO:0008237;GO:0008270","Y"
"1606","g13293",2.79153005892017,-0.303913718296225,5.86734191738946,1.68212517579668e-06,1.64159077710221e-05,"FB",884,"scaffold_202",NA,NA,NA,NA,NA,NA,NA,"N"
"1607","g8679",-3.28932859343281,-1.64399681849509,-5.86458278388023,1.69425556088562e-06,1.6523999630218e-05,"MB",303,"scaffold_337",NA,NA,NA,NA,NA,NA,NA,"N"
"1608","g2439",-3.55454907183042,-0.719769646080955,-5.86376947497571,1.69786948217245e-06,1.65489480062742e-05,"MB",508,"scaffold_460",NA,NA,NA,NA,NA,NA,NA,"N"
"1609","g18575",-6.96450637567036,-0.151477670803413,-5.86368125094217,1.71071105971809e-06,1.66637504281924e-05,"MB (FC > 5)",1161,"scaffold_312",NA,NA,NA,NA,NA,NA,NA,"N"
"1610","g22676",2.50001821305012,-0.48238465793766,5.85965239579852,1.7161174693215e-06,1.67060304948297e-05,"FB",878,"scaffold_6",NA,"A0A482XJX4","PF00201","UDP-glucoronosyl and UDP-glucosyl transferase","IPR002213","UDP-glucuronosyl/UDP-glucosyltransferase","GO:0016758","Y"
"1611","g22644",2.2822410619265,1.90967771405974,5.85828807976874,1.72222083852144e-06,1.67550386108917e-05,"FB",839,"scaffold_6",NA,"A0A139WIW7","PF00201","UDP-glucoronosyl and UDP-glucosyl transferase","IPR002213","UDP-glucuronosyl/UDP-glucosyltransferase","GO:0016758","Y"
"1612","g5027",-1.6556343138064,4.97321926333607,-5.85763707158316,1.72514093891118e-06,1.67730359401705e-05,"MB",2601,"scaffold_430","ZFP62_HUMAN",NA,"PF00096;PF13912","Zinc finger, C2H2 type; C2H2-type zinc finger","IPR013087","Zinc finger C2H2-type","GO:0003676","Y"
"1613","g16315",3.07616512043527,2.14891071362723,5.85731351845172,1.72659893145776e-06,1.67768041244497e-05,"FB",2548,"scaffold_77",NA,NA,NA,NA,NA,NA,NA,"N"
"1614","g18072",3.40543743164644,-2.2917132000181,5.85416664937854,1.74081453443264e-06,1.69044524152185e-05,"FB",540,"scaffold_217",NA,NA,"PF00957","Synaptobrevin","IPR001388","Synaptobrevin","GO:0016021;GO:0016192","Y"
"1615","g4379",2.89226923155133,0.194675808147934,5.85372810590244,1.74278210223321e-06,1.69130798069975e-05,"FB",496,"scaffold_554",NA,NA,NA,NA,NA,NA,NA,"N"
"1616","g21678",2.70678164984433,4.47391331432996,5.85013867914322,1.75913908447237e-06,1.70612542518165e-05,"FB",2100,"scaffold_9","MYORG_HUMAN","A0A2P8XH20","PF01055","Glycosyl hydrolases family 31","IPR000322","Glycoside hydrolase family 31","GO:0004553;GO:0005975","Y"
"1617","g19529",2.0092228541979,1.33440098339618,5.84840610506542,1.76708998928468e-06,1.71277683376987e-05,"FB",840,"scaffold_7","CP6A1_MUSDO,C6A13_DROME","A0A067QPK3,A0A2J7QIZ0","PF00067","Cytochrome P450","IPR001128","Cytochrome P450","GO:0005506;GO:0016705;GO:0020037;GO:0055114","Y"
"1618","g291",2.36773901254788,0.690368849786382,5.84766474824772,1.77050347994384e-06,1.71502478622743e-05,"FB",584,"scaffold_137",NA,"J9JKV2","PF00010","Helix-loop-helix DNA-binding domain","IPR011598","Myc-type, basic helix-loop-helix (bHLH) domain","GO:0046983","Y"
"1619","g6624",-2.81842260998785,2.80953598651999,-5.84544562475777,1.7807621195838e-06,1.72389652255942e-05,"MB",4955,"scaffold_700","ABCA3_HUMAN","A0A2J7RIF3","PF00005;PF12698","ABC transporter; ABC-2 family transporter protein","IPR003439","ABC transporter-like","GO:0005524;GO:0016887","Y"
"1620","g13188",-2.21460924051611,0.519783438082997,-5.84193332140151,1.79711910015314e-06,1.73850260118729e-05,"MB",438,"scaffold_13","CAH10_PONAB","E0VXZ0","PF00194","Eukaryotic-type carbonic anhydrase","IPR001148","Alpha carbonic anhydrase domain",NA,"Y"
"1621","g2010",2.42377288939378,4.03963341538698,5.84167298924362,1.79833764592911e-06,1.73850260118729e-05,"FB",1332,"scaffold_581",NA,"J9MAL5","PF07690","Major Facilitator Superfamily","IPR011701","Major facilitator superfamily","GO:0016021;GO:0055085","Y"
"1622","g2083",1.54419556684089,7.96855493280913,5.84149360339525,1.79917770632667e-06,1.73850260118729e-05,"FB",658,"scaffold_126","GSTT1_MANSE","A0A1W4U585","PF13417;PF14497","Glutathione S-transferase, N-terminal domain; Glutathione S-transferase, C-terminal domain","IPR004045;IPR004046","Glutathione S-transferase, N-terminal; Glutathione S-transferase, C-terminal","GO:0005515","Y"
"1623","g19617",1.51157566263166,6.24327033026572,5.83818937821941,1.81472350111896e-06,1.75244371121611e-05,"FB",669,"scaffold_233",NA,"A0A482WS24","PF03083","Sugar efflux transporter for intercellular exchange","IPR004316","SWEET sugar transporter","GO:0016021","Y"
"1624","g6706",-1.7790719593314,3.40169231280522,-5.83755541356511,1.81772169693875e-06,1.75425813769218e-05,"MB",724,"scaffold_179",NA,"A0A3Q0IS08",NA,NA,NA,NA,NA,"Y"
"1625","g23048",3.30376857841809,2.33096991734431,5.83649217262067,1.82277674734022e-06,1.75792108339673e-05,"FB",5411,"scaffold_82","PLXA4_HUMAN","A0A482WJJ4","PF01833;PF18020;PF01403;PF17960;PF01437;PF08337","IPT/TIG domain; TIG domain found in plexin; Sema domain; TIG domain; Plexin repeat; Plexin cytoplasmic RasGAP domain","IPR002909;IPR041362;IPR001627;IPR041019;IPR002165;IPR013548","IPT domain; Plexin, TIG domain 2; Sema domain; Plexin, TIG domain 1; Plexin repeat; Plexin, cytoplasmic RasGAP domain","GO:0005515","Y"
"1626","g21806",2.47428957582822,3.89387788191533,5.83628175961674,1.82376040426407e-06,1.75792108339673e-05,"FB",1135,"scaffold_541",NA,NA,NA,NA,NA,NA,NA,"N"
"1627","g23462",2.33646225387712,0.921724208059463,5.83262664917333,1.8412028261981e-06,1.77336331043666e-05,"FB",1252,"scaffold_48","DDL_WOLWR","A0A1A9VJZ8","PF01820;PF07478","D-ala D-ala ligase N-terminus; D-ala D-ala ligase C-terminus","IPR011127;IPR011095","D-alanine--D-alanine ligase, N-terminal domain; D-alanine--D-alanine ligase, C-terminal","GO:0008716","Y"
"1628","g10511",2.53974618382543,-0.08525016528037,5.83245130517642,1.84204394142212e-06,1.77336331043666e-05,"FB",1750,"scaffold_103",NA,NA,NA,NA,NA,NA,NA,"N"
"1629","g14375",1.71061458924599,6.78419967547957,5.82386173327174,1.88372054122509e-06,1.81237274663111e-05,"FB",1070,"scaffold_24","ODPB_CAEEL","U4TT33","PF02780;PF02779","Transketolase, C-terminal domain; Transketolase, pyrimidine binding domain","IPR033248;IPR005475","Transketolase, C-terminal domain; Transketolase-like, pyrimidine-binding domain",NA,"Y"
"1630","g14939",3.55071922964777,0.39648941174816,5.82083056622086,1.89869835954878e-06,1.82566253921522e-05,"FB",1521,"scaffold_324",NA,NA,"PF01223","DNA/RNA non-specific endonuclease","IPR001604","DNA/RNA non-specific endonuclease","GO:0003676;GO:0016787;GO:0046872","Y"
"1631","g2673",5.4540473395302,-0.702521238743551,5.82002690858149,1.90567692334458e-06,1.83124919801224e-05,"FB (FC > 5)",632,"scaffold_221",NA,NA,"PF00135","Carboxylesterase family","IPR002018","Carboxylesterase, type B",NA,"Y"
"1632","g3836",2.31799080731695,2.5705866108511,5.81855449525628,1.90994690816447e-06,1.83422781198907e-05,"FB",1091,"scaffold_261",NA,NA,"PF13640","2OG-Fe(II) oxygenase superfamily","IPR005123","Oxoglutarate/iron-dependent dioxygenase","GO:0016491;GO:0055114","Y"
"1633","g13917",2.94736197813065,5.36423440162962,5.81324761888654,1.9365436703144e-06,1.85863128872244e-05,"FB",1300,"scaffold_118",NA,NA,NA,NA,NA,NA,NA,"N"
"1634","g11378",3.6327187131813,-0.960392688088041,5.80977834320859,1.95418957026419e-06,1.87441940849147e-05,"FB",470,"scaffold_151",NA,NA,NA,NA,NA,NA,NA,"N"
"1635","g21162",4.0169635807925,-1.31401979132127,5.80656651477311,1.97075665022005e-06,1.88915406598769e-05,"FB",477,"scaffold_98",NA,NA,NA,NA,NA,NA,NA,"N"
"1636","g2679",1.90035526861785,5.20572090630576,5.8054698254135,1.97619554788579e-06,1.89320983019645e-05,"FB",1722,"scaffold_677",NA,"A0A139WBH2","PF00057","Low-density lipoprotein receptor domain class A","IPR002172","Low-density lipoprotein (LDL) receptor class A repeat","GO:0005515","Y"
"1637","g16595",2.57208945376167,2.15214041376228,5.79975106079101,2.00587575659248e-06,1.92046980654086e-05,"FB",2764,"scaffold_154","RCBT1_HUMAN","K1QBL7","PF00651;PF00415","BTB/POZ domain; Regulator of chromosome condensation (RCC1) repeat","IPR000210;IPR000408","BTB/POZ domain; Regulator of chromosome condensation, RCC1","GO:0005515","Y"
"1638","g5652",2.7228865956206,0.460629135009072,5.79940649921617,2.00767882488319e-06,1.92102260209977e-05,"FB",1207,"scaffold_1013","G3ST3_MOUSE","J9M8G2","PF06990","Galactose-3-O-sulfotransferase","IPR009729","Galactose-3-O-sulfotransferase","GO:0001733;GO:0005794;GO:0009247;GO:0016021","Y"
"1639","g13236",2.9819363060166,1.27199707896955,5.7989733049597,2.00995032771293e-06,1.92202266542067e-05,"FB",974,"scaffold_759",NA,"A0A482VMA0","PF00379","Insect cuticle protein","IPR000618","Insect cuticle protein","GO:0042302","Y"
"1640","g21325",-1.65377512668315,2.41810520619726,-5.79657779396446,2.02253865554941e-06,1.93195727612135e-05,"MB",1459,"scaffold_43","SLP2_DROME","A0A2P8Z7F4","PF00250","Forkhead domain","IPR001766","Fork head domain","GO:0003700;GO:0006355;GO:0043565","Y"
"1641","g20268",4.09520124351189,-1.2885435710467,5.7965762045031,2.02280475347102e-06,1.93195727612135e-05,"FB",2042,"scaffold_119",NA,"A0A261DAX9","PF09820","Predicted AAA-ATPase","IPR018631","AAA-ATPase-like domain",NA,"Y"
"1642","g18434",5.41180462428272,-0.872996117498163,5.79537209356977,2.03202611086019e-06,1.93958253565845e-05,"FB (FC > 5)",699,"scaffold_387","RAC1_DROME","A0A1I8Q976","PF00071","Ras family","IPR001806","Small GTPase","GO:0003924;GO:0005525","Y"
"1643","g12524",1.71131998965448,8.36829868546917,5.79244675483344,2.04444110229916e-06,1.95024500282013e-05,"FB",1651,"scaffold_283","G6PI_PIG","A0A2P8ZCE3","PF00342","Phosphoglucose isomerase","IPR001672","Phosphoglucose isomerase (PGI)","GO:0004347;GO:0006094;GO:0006096","Y"
"1644","g17634",2.43968811229897,1.38630216306522,5.79138436858101,2.0501125433174e-06,1.95446556517114e-05,"FB",664,"scaffold_448",NA,NA,"PF07679;PF13895","Immunoglobulin I-set domain; Immunoglobulin domain","IPR013098;IPR007110","Immunoglobulin I-set; Immunoglobulin-like domain",NA,"Y"
"1645","g17967",2.22634188097027,2.64591927190826,5.78901130449449,2.06283821081278e-06,1.9654020229829e-05,"FB",1195,"scaffold_226",NA,NA,NA,NA,NA,NA,NA,"N"
"1646","g9994",2.3407970960592,2.69173047575113,5.7842802100443,2.08844800553521e-06,1.98762675375828e-05,"FB",1388,"scaffold_53",NA,NA,"PF09820","Predicted AAA-ATPase","IPR018631","AAA-ATPase-like domain",NA,"Y"
"1647","g22384",4.57358458926291,4.5219467785358,5.7843814911277,2.08870111876469e-06,1.98762675375828e-05,"FB",2933,"scaffold_30","AMPN_BOVIN","A0A482XQX1","PF01433;PF11838;PF17900","Peptidase family M1 domain; ERAP1-like C-terminal domain; Peptidase M1 N-terminal domain","IPR014782;IPR024571","Peptidase M1, membrane alanine aminopeptidase; ERAP1-like C-terminal domain","GO:0008237;GO:0008270","Y"
"1648","g20717",2.66115453638633,0.0664399818504957,5.78335946133107,2.09346979966151e-06,1.99095583556401e-05,"FB",1597,"scaffold_131","MURE_RICRI","H8K2K5","PF08245;PF02875;PF01225","Mur ligase middle domain; Mur ligase family, glutamate ligase domain; Mur ligase family, catalytic domain","IPR013221;IPR004101;IPR000713","Mur ligase, central; Mur ligase, C-terminal; Mur ligase, N-terminal catalytic domain","GO:0005524;GO:0009058;GO:0016874","Y"
"1649","g20452",2.52817840131268,4.62597400457369,5.77848485496853,2.12025749879262e-06,2.01520896170872e-05,"FB",1303,"scaffold_734",NA,NA,NA,NA,NA,NA,NA,"N"
"1650","g18580",5.92213053899839,-1.89233432969459,5.77515197470691,2.14504344407008e-06,2.03753126660063e-05,"FB (FC > 5)",1055,"scaffold_312","CCH1R_DROME","J9JWL6","PF00001","7 transmembrane receptor (rhodopsin family)","IPR000276","G protein-coupled receptor, rhodopsin-like","GO:0004930;GO:0007186;GO:0016021","Y"
"1651","g18251",2.79569694840561,1.28344735642797,5.77370633318186,2.14685508588728e-06,2.0380169449492e-05,"FB",526,"scaffold_381",NA,NA,NA,NA,NA,NA,NA,"N"
"1652","g5287",2.52293050471991,3.74963870822024,5.76908944328779,2.17287127370654e-06,2.06146558552073e-05,"FB",634,"scaffold_500",NA,NA,"PF03227","Gamma interferon inducible lysosomal thiol reductase (GILT)","IPR004911","Gamma interferon inducible lysosomal thiol reductase GILT",NA,"Y"
"1653","g7359",-6.43231519599849,2.52989455142994,-5.76963622482491,2.18050293119625e-06,2.0674544731179e-05,"MB (FC > 5)",1656,"scaffold_149",NA,NA,"PF00379","Insect cuticle protein","IPR000618","Insect cuticle protein","GO:0042302","Y"
"1654","g8681",-1.51086659449995,6.43209782663803,-5.76552889458518,2.1931532471689e-06,2.07819170755007e-05,"MB",1835,"scaffold_337",NA,NA,NA,NA,NA,NA,NA,"N"
"1655","g21796",2.54187217466405,3.74899902455727,5.7626914669486,2.20945343033235e-06,2.09237242378241e-05,"FB",1632,"scaffold_420",NA,NA,NA,NA,NA,NA,NA,"N"
"1656","g18981",-4.83497662228822,-2.30944301411864,-5.75928416058028,2.23062559160191e-06,2.11114703485366e-05,"MB",3246,"scaffold_163",NA,"J9JRG4","PF16064","Domain of unknown function (DUF4806)","IPR032071","Domain of unknown function DUF4806",NA,"Y"
