"gene","gene_len","seq","blast","diamond","pfam_acc","pfam_descr","ipr_acc","ipr_descr","GO","anno"
"g22360",765,"scaffold_30","EXC4_CAEEL","R4FKW0",NA,NA,NA,NA,NA,"Y"
"g22361",960,"scaffold_30","SFXN1_SHEEP","C4WV43","PF03820","Tricarboxylate carrier","IPR004686","Tricarboxylate/iron carrier","GO:0006811;GO:0015075;GO:0016020;GO:0055085","Y"
"g22362",530,"scaffold_30","RM13_DROME","J3JY52","PF00572","Ribosomal protein L13","IPR005822","Ribosomal protein L13","GO:0003735;GO:0005840;GO:0006412","Y"
"g22363",612,"scaffold_30","SFT2_YEAST","A0A2J7RQR9","PF04178","Got1/Sft2-like family","IPR007305","Vesicle transport protein, Got1/SFT2-like","GO:0016192","Y"
"g22364",960,"scaffold_30","SFXN1_MOUSE","C4WV43","PF03820","Tricarboxylate carrier","IPR004686","Tricarboxylate/iron carrier","GO:0006811;GO:0015075;GO:0016020;GO:0055085","Y"
"g22365",13182,"scaffold_30","SPEN_DROME","A0A482WV27","PF00076;PF07744","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain); SPOC domain","IPR000504;IPR012921","RNA recognition motif domain; Spen paralogue and orthologue SPOC, C-terminal","GO:0003676","Y"
"g22366",2309,"scaffold_30",NA,NA,"PF00061","Lipocalin / cytosolic fatty-acid binding protein family","IPR000566","Lipocalin/cytosolic fatty-acid binding domain",NA,"Y"
"g22367",817,"scaffold_30",NA,NA,"PF13927","Immunoglobulin domain",NA,NA,NA,"Y"
"g22368",1045,"scaffold_30",NA,NA,NA,NA,NA,NA,NA,"N"
"g22369",606,"scaffold_30",NA,"A0A482X618","PF07679","Immunoglobulin I-set domain","IPR013098","Immunoglobulin I-set",NA,"Y"
"g2237",1371,"scaffold_14",NA,"J9JVS2","PF00135","Carboxylesterase family","IPR002018","Carboxylesterase, type B",NA,"Y"
"g22370",239,"scaffold_30",NA,NA,NA,NA,NA,NA,NA,"N"
"g22371",637,"scaffold_30",NA,NA,NA,NA,NA,NA,NA,"N"
"g22372",434,"scaffold_30",NA,NA,NA,NA,NA,NA,NA,"N"
"g22373",413,"scaffold_30","IF5A_SPOFR","A0A482X7L3","PF01287","Eukaryotic elongation factor 5A hypusine, DNA-binding OB fold","IPR020189","Translation elongation factor, IF5A C-terminal","GO:0003723;GO:0003746;GO:0006452;GO:0043022;GO:0045901;GO:0045905","Y"
"g22374",3103,"scaffold_30",NA,"A0A437BE89","PF03489;PF05184;PF02199","Saposin-like type B, region 2; Saposin-like type B, region 1; Saposin A-type domain","IPR008138;IPR007856;IPR003119","Saposin B type, region 2; Saposin-like type B, region 1; Saposin A-type domain","GO:0006629","Y"
"g22375",217,"scaffold_30",NA,NA,NA,NA,NA,NA,NA,"N"
"g22376",339,"scaffold_30",NA,NA,NA,NA,NA,NA,NA,"N"
"g22377",863,"scaffold_30",NA,NA,NA,NA,NA,NA,NA,"N"
"g22378",598,"scaffold_30","RND3_RAT","A0A2P8Z5H8","PF00071","Ras family","IPR001806","Small GTPase","GO:0003924;GO:0005525","Y"
"g22379",623,"scaffold_30",NA,NA,NA,NA,NA,NA,NA,"N"
"g2238",1688,"scaffold_14","ESTE_MYZPE","J9K991","PF00135","Carboxylesterase family","IPR002018","Carboxylesterase, type B",NA,"Y"
"g22380",1138,"scaffold_30","MECR_DROME","A0A2J7PVQ4","PF00107;PF08240","Zinc-binding dehydrogenase; Alcohol dehydrogenase GroES-like domain","IPR013149;IPR013154","Alcohol dehydrogenase, C-terminal; Alcohol dehydrogenase, N-terminal","GO:0055114","Y"
"g22381",5495,"scaffold_30","AMPE_RAT","A0A158P3F3","PF17900;PF11838;PF01433","Peptidase M1 N-terminal domain; ERAP1-like C-terminal domain; Peptidase family M1 domain","IPR024571;IPR014782","ERAP1-like C-terminal domain; Peptidase M1, membrane alanine aminopeptidase","GO:0008237;GO:0008270","Y"
"g22382",2923,"scaffold_30","AMPN_CHICK","A0A2P8ZGX6","PF17900;PF11838;PF01433","Peptidase M1 N-terminal domain; ERAP1-like C-terminal domain; Peptidase family M1 domain","IPR024571;IPR014782","ERAP1-like C-terminal domain; Peptidase M1, membrane alanine aminopeptidase","GO:0008237;GO:0008270","Y"
"g22383",2927,"scaffold_30","AMPM_MANSE","A0A2J7PPF0","PF17900;PF11838;PF01433","Peptidase M1 N-terminal domain; ERAP1-like C-terminal domain; Peptidase family M1 domain","IPR024571;IPR014782","ERAP1-like C-terminal domain; Peptidase M1, membrane alanine aminopeptidase","GO:0008237;GO:0008270","Y"
"g22384",2933,"scaffold_30","AMPN_BOVIN","A0A482XQX1","PF01433;PF11838;PF17900","Peptidase family M1 domain; ERAP1-like C-terminal domain; Peptidase M1 N-terminal domain","IPR014782;IPR024571","Peptidase M1, membrane alanine aminopeptidase; ERAP1-like C-terminal domain","GO:0008237;GO:0008270","Y"
"g22385",2953,"scaffold_30","AMPN_PLUXY","A0A2P8Y405","PF11838;PF17900;PF01433","ERAP1-like C-terminal domain; Peptidase M1 N-terminal domain; Peptidase family M1 domain","IPR024571;IPR014782","ERAP1-like C-terminal domain; Peptidase M1, membrane alanine aminopeptidase","GO:0008237;GO:0008270","Y"
"g22386",2836,"scaffold_30","AMPN_MANSE","A0A0M9A6N6","PF01433;PF17900;PF11838","Peptidase family M1 domain; Peptidase M1 N-terminal domain; ERAP1-like C-terminal domain","IPR014782;IPR024571","Peptidase M1, membrane alanine aminopeptidase; ERAP1-like C-terminal domain","GO:0008237;GO:0008270","Y"
"g22387",3349,"scaffold_30","AMPM_MANSE","A0A482XQX1","PF17900;PF01433;PF11838","Peptidase M1 N-terminal domain; Peptidase family M1 domain; ERAP1-like C-terminal domain","IPR014782;IPR024571","Peptidase M1, membrane alanine aminopeptidase; ERAP1-like C-terminal domain","GO:0008237;GO:0008270","Y"
"g22388",5383,"scaffold_30","CPMD8_HUMAN","T1I3M0","PF07703;PF01835;PF07678;PF00207;PF12248","Alpha-2-macroglobulin bait region domain; MG2 domain; A-macroglobulin TED domain; Alpha-2-macroglobulin family; Farnesoic acid 0-methyl transferase","IPR011625;IPR002890;IPR011626;IPR001599;IPR022041","Alpha-2-macroglobulin, bait region domain; Macroglobulin domain; Alpha-macroglobulin-like, TED domain; Alpha-2-macroglobulin; Farnesoic acid O-methyl transferase","GO:0004866;GO:0005615","Y"
"g22389",1404,"scaffold_30",NA,NA,NA,NA,NA,NA,NA,"N"
"g2239",2412,"scaffold_14","ESTF_MYZPE","J9JVS2","PF00135","Carboxylesterase family","IPR002018","Carboxylesterase, type B",NA,"Y"
"g22390",208,"scaffold_30",NA,NA,NA,NA,NA,NA,NA,"N"
"g22391",1733,"scaffold_30",NA,NA,NA,NA,NA,NA,NA,"N"
"g22392",1499,"scaffold_30",NA,"J9JQ25","PF00050;PF07648","Kazal-type serine protease inhibitor domain; Kazal-type serine protease inhibitor domain","IPR002350","Kazal domain","GO:0005515","Y"
"g22393",1648,"scaffold_30","MTA70_HUMAN","A0A067R9A5","PF05063","MT-A70","IPR007757","MT-A70-like",NA,"Y"
"g22394",326,"scaffold_30",NA,NA,"PF02970","Tubulin binding cofactor A","IPR004226","Tubulin binding cofactor A","GO:0007021;GO:0007023;GO:0048487","Y"
"g22395",478,"scaffold_30","UBC9_XENTR","A0A026W1W6","PF00179","Ubiquitin-conjugating enzyme","IPR000608","Ubiquitin-conjugating enzyme E2",NA,"Y"
"g22396",392,"scaffold_109",NA,NA,NA,NA,NA,NA,NA,"N"
"g22397",392,"scaffold_109",NA,NA,NA,NA,NA,NA,NA,"N"
"g22398",1013,"scaffold_109",NA,"A0A067RU85","PF05704","Capsular polysaccharide synthesis protein","IPR008441","Capsular polysaccharide synthesis protein",NA,"Y"
"g22399",406,"scaffold_109",NA,NA,NA,NA,NA,NA,NA,"N"
"g224",1226,"scaffold_360",NA,NA,NA,NA,NA,NA,NA,"N"
"g2240",1768,"scaffold_14",NA,"J9K7R3","PF06585;PF08212","Haemolymph juvenile hormone binding protein (JHBP); Lipocalin-like domain","IPR010562;IPR000566","Haemolymph juvenile hormone binding; Lipocalin/cytosolic fatty-acid binding domain",NA,"Y"
"g22400",420,"scaffold_109",NA,NA,NA,NA,NA,NA,NA,"N"
"g22401",2705,"scaffold_109","SP42D_DROME","J9JJ46","PF00079","Serpin (serine protease inhibitor)","IPR023796","Serpin domain",NA,"Y"
"g22402",609,"scaffold_109",NA,NA,NA,NA,NA,NA,NA,"N"
"g22403",1122,"scaffold_109",NA,NA,NA,NA,NA,NA,NA,"N"
"g22404",794,"scaffold_109",NA,NA,NA,NA,NA,NA,NA,"N"
"g22405",1809,"scaffold_109",NA,NA,NA,NA,NA,NA,NA,"N"
"g22406",329,"scaffold_109",NA,NA,NA,NA,NA,NA,NA,"N"
"g22407",230,"scaffold_109",NA,NA,NA,NA,NA,NA,NA,"N"
"g22408",370,"scaffold_109",NA,NA,NA,NA,NA,NA,NA,"N"
"g22409",251,"scaffold_109",NA,NA,NA,NA,NA,NA,NA,"N"
"g2241",2108,"scaffold_14",NA,NA,NA,NA,NA,NA,NA,"N"
"g22410",317,"scaffold_109",NA,NA,NA,NA,NA,NA,NA,"N"
"g22411",260,"scaffold_109",NA,NA,NA,NA,NA,NA,NA,"N"
"g22412",568,"scaffold_109",NA,NA,NA,NA,NA,NA,NA,"N"
"g22413",389,"scaffold_109",NA,NA,NA,NA,NA,NA,NA,"N"
"g22414",378,"scaffold_109",NA,NA,NA,NA,NA,NA,NA,"N"
"g22415",352,"scaffold_109",NA,NA,NA,NA,NA,NA,NA,"N"
"g22416",1041,"scaffold_109","MAP12_MOUSE","B3RPM1","PF00557","Metallopeptidase family M24","IPR000994","Peptidase M24",NA,"Y"
"g22417",1237,"scaffold_109","FAAA_HUMAN","E0VQ89","PF01557;PF09298","Fumarylacetoacetate (FAA) hydrolase family; Fumarylacetoacetase N-terminal","IPR011234;IPR015377","Fumarylacetoacetase-like, C-terminal; Fumarylacetoacetase, N-terminal","GO:0003824;GO:0004334;GO:0009072","Y"
"g22418",861,"scaffold_109",NA,NA,"PF00194","Eukaryotic-type carbonic anhydrase","IPR001148","Alpha carbonic anhydrase domain",NA,"Y"
"g22419",2924,"scaffold_109",NA,"A0A482X7F6","PF00024","PAN domain","IPR003609","PAN/Apple domain",NA,"Y"
"g2242",1041,"scaffold_14","ARX_DANRE","A0A088AMF9","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677","Y"
"g22420",271,"scaffold_109",NA,NA,NA,NA,NA,NA,NA,"N"
"g22421",3670,"scaffold_109","LINT_DROME","A0A482WIK0","PF00089","Trypsin","IPR001254","Serine proteases, trypsin domain","GO:0004252;GO:0006508","Y"
"g22422",1082,"scaffold_109","S35A2_BOVIN","J9K7G8","PF04142","Nucleotide-sugar transporter","IPR007271","Nucleotide-sugar transporter","GO:0000139;GO:0015165;GO:0016021;GO:0090481","Y"
"g22423",1929,"scaffold_109","ACE_CHICK","A0A482XR58","PF01401","Angiotensin-converting enzyme","IPR001548","Peptidase M2, peptidyl-dipeptidase A","GO:0006508;GO:0008237;GO:0008241;GO:0016020","Y"
"g22424",266,"scaffold_109",NA,NA,"PF04937","Protein of unknown function (DUF 659)","IPR007021","Domain of unknown function DUF659",NA,"Y"
"g22425",415,"scaffold_109",NA,NA,NA,NA,NA,NA,NA,"N"
"g22426",2307,"scaffold_109",NA,"X1WVL4","PF14291","Domain of unknown function (DUF4371)","IPR025398","Domain of unknown function DUF4371",NA,"Y"
"g22427",764,"scaffold_109",NA,"J9KHS0",NA,NA,NA,NA,NA,"Y"
"g22428",759,"scaffold_109",NA,"A0A3S2TIP6","PF03184","DDE superfamily endonuclease","IPR004875","DDE superfamily endonuclease domain","GO:0003676","Y"
"g22429",638,"scaffold_109","MNX1_HUMAN","J9JZ11","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677","Y"
"g2243",4778,"scaffold_14","TSP4_XENLA","A0A1D2NGD7","PF07645;PF05735;PF00008;PF11598;PF02412","Calcium-binding EGF domain; Thrombospondin C-terminal region; EGF-like domain; Cartilage oligomeric matrix protein; Thrombospondin type 3 repeat","IPR001881;IPR008859;IPR000742;IPR024665;IPR003367","EGF-like calcium-binding domain; Thrombospondin, C-terminal; EGF-like domain; Thrombospondin/cartilage oligomeric matrix protein, coiled-coil domain; Thrombospondin, type 3-like repeat","GO:0005509;GO:0005576;GO:0007155","Y"
"g22430",533,"scaffold_109",NA,NA,"PF06109","Haemolysin E (HlyE)","IPR027018","Hemolysin E","GO:0009405;GO:0044179","Y"
"g22431",331,"scaffold_109",NA,NA,NA,NA,NA,NA,NA,"N"
"g22432",1209,"scaffold_109",NA,NA,NA,NA,NA,NA,NA,"N"
"g22433",349,"scaffold_109",NA,NA,NA,NA,NA,NA,NA,"N"
"g22434",2062,"scaffold_109",NA,"A0A1X7T1L6","PF03184;PF05225","DDE superfamily endonuclease; helix-turn-helix, Psq domain","IPR004875;IPR007889","DDE superfamily endonuclease domain; DNA binding HTH domain, Psq-type","GO:0003676;GO:0003677","Y"
"g22435",1158,"scaffold_109",NA,NA,NA,NA,NA,NA,NA,"N"
"g22436",698,"scaffold_109",NA,NA,NA,NA,NA,NA,NA,"N"
"g22437",456,"scaffold_109",NA,NA,NA,NA,NA,NA,NA,"N"
"g22438",644,"scaffold_109",NA,NA,NA,NA,NA,NA,NA,"N"
"g22439",679,"scaffold_109",NA,NA,NA,NA,NA,NA,NA,"N"
"g2244",1951,"scaffold_14","SPZ2_DROME","J9JSW2","PF16077","Spaetzle","IPR032104","Spaetzle",NA,"Y"
"g22440",702,"scaffold_109",NA,NA,NA,NA,NA,NA,NA,"N"
"g22441",1417,"scaffold_109","PGBD3_HUMAN","J9JYK4","PF13843","Transposase IS4","IPR029526","PiggyBac transposable element-derived protein",NA,"Y"
"g22442",338,"scaffold_109",NA,NA,NA,NA,NA,NA,NA,"N"
"g22443",381,"scaffold_109",NA,NA,NA,NA,NA,NA,NA,"N"
"g22444",3054,"scaffold_109",NA,"A0A2J7RQB1","PF01607","Chitin binding Peritrophin-A domain","IPR002557","Chitin binding domain","GO:0005576;GO:0006030;GO:0008061","Y"
"g22445",1954,"scaffold_109",NA,"J9JQU5",NA,NA,NA,NA,NA,"Y"
"g22446",792,"scaffold_109",NA,NA,"PF15383","Transmembrane protein 237","IPR029409","Transmembrane protein 237",NA,"Y"
"g22447",4130,"scaffold_109",NA,"A0A2P8Z9F0",NA,NA,NA,NA,NA,"Y"
"g22448",1577,"scaffold_109","Y0915_DROME","J9K072","PF09727","Cortactin-binding protein-2","IPR019131","Cortactin-binding protein-2, N-terminal",NA,"Y"
"g22449",968,"scaffold_109","SFRP5_BOVIN","E9FSA1","PF01759;PF01392","UNC-6/NTR/C345C module; Fz domain","IPR018933;IPR020067","Netrin module, non-TIMP type; Frizzled domain","GO:0005515","Y"
"g2245",235,"scaffold_14",NA,NA,NA,NA,NA,NA,NA,"N"
"g22450",7378,"scaffold_109","DOCK6_HUMAN","A0A482WTZ1","PF14429;PF01762;PF11878;PF06920","C2 domain in Dock180 and Zizimin proteins; Galactosyltransferase; Domain of unknown function (DUF3398); Dock homology region 2","IPR027007;IPR002659;IPR021816;IPR010703","DHR-1 domain; Glycosyl transferase, family 31; Dedicator of cytokinesis C/D, N-terminal; Dedicator of cytokinesis, C-terminal","GO:0006486;GO:0008378;GO:0016020","Y"
"g22451",344,"scaffold_109","PTH2_HUMAN",NA,"PF01981","Peptidyl-tRNA hydrolase PTH2","IPR002833","Peptidyl-tRNA hydrolase, PTH2","GO:0004045","Y"
"g22452",577,"scaffold_109",NA,NA,NA,NA,NA,NA,NA,"N"
"g22453",2453,"scaffold_109","BCAS3_DROME","J9K307","PF12490","Breast carcinoma amplified sequence 3","IPR022175","BCAS3 domain",NA,"Y"
"g22454",1870,"scaffold_109","CCD22_CULQU","A0A2J7RHQ6","PF05667","Protein of unknown function (DUF812)","IPR008530","Coiled-coil domain-containing protein 22",NA,"Y"
"g22455",1493,"scaffold_109","G6PT3_DANRE","F4W8I5","PF07690","Major Facilitator Superfamily","IPR011701","Major facilitator superfamily","GO:0016021;GO:0055085","Y"
"g22456",824,"scaffold_109",NA,NA,NA,NA,NA,NA,NA,"N"
"g22457",3263,"scaffold_109","ANO5_MOUSE","A0A482X0A2","PF04547;PF16178","Calcium-activated chloride channel; Dimerisation domain of Ca+-activated chloride-channel, anoctamin","IPR007632;IPR032394","Anoctamin; Anoctamin, dimerisation domain","GO:0046983","Y"
"g22458",1592,"scaffold_109","SCRB1_PIG","A0A482XL33","PF01130","CD36 family","IPR002159","CD36 family","GO:0016020","Y"
"g22459",434,"scaffold_109",NA,NA,NA,NA,NA,NA,NA,"N"
"g2246",1580,"scaffold_14",NA,NA,NA,NA,NA,NA,NA,"N"
"g22460",433,"scaffold_109",NA,NA,NA,NA,NA,NA,NA,"N"
"g22461",568,"scaffold_109",NA,NA,NA,NA,NA,NA,NA,"N"
"g22462",1184,"scaffold_109",NA,NA,NA,NA,NA,NA,NA,"N"
"g22463",790,"scaffold_109",NA,NA,NA,NA,NA,NA,NA,"N"
"g22464",448,"scaffold_109",NA,NA,NA,NA,NA,NA,NA,"N"
"g22465",962,"scaffold_109",NA,NA,NA,NA,NA,NA,NA,"N"
"g22466",1118,"scaffold_109","WNT16_BOVIN","J9JK28","PF00110","wnt family","IPR005817","Wnt","GO:0005102;GO:0005576;GO:0007275;GO:0016055","Y"
"g22467",2078,"scaffold_960",NA,NA,NA,NA,NA,NA,NA,"N"
"g22468",1331,"scaffold_228","HECW2_MOUSE","A0A067RRE4","PF00632","HECT-domain (ubiquitin-transferase)","IPR000569","HECT domain","GO:0004842","Y"
"g22469",4243,"scaffold_228","HECW2_HUMAN","A0A2P8Y296","PF00397;PF18436;PF16562","WW domain; Helical box domain of E3 ubiquitin-protein ligase HECW1; N-terminal domain of E3 ubiquitin-protein ligase HECW1 and 2","IPR001202;IPR040524;IPR032348","WW domain; E3 ubiquitin-protein ligase HECW1, helical box domain; E3 ubiquitin-protein ligase HECW1/2, N-terminal","GO:0005515","Y"
"g2247",1247,"scaffold_14",NA,"X1XJQ1","PF00589","Phage integrase family","IPR002104","Integrase, catalytic domain","GO:0003677;GO:0006310;GO:0015074","Y"
"g22470",445,"scaffold_228",NA,NA,NA,NA,NA,NA,NA,"N"
"g22471",266,"scaffold_228",NA,NA,NA,NA,NA,NA,NA,"N"
"g22472",984,"scaffold_228",NA,NA,NA,NA,NA,NA,NA,"N"
"g22473",835,"scaffold_228","DHRS4_RABIT","A0A1S4ECP8","PF13561","Enoyl-(Acyl carrier protein) reductase",NA,NA,NA,"Y"
"g22474",909,"scaffold_228","NUBP1_AEDAE","A0A1S3D4W3","PF10609","NUBPL iron-transfer P-loop NTPase","IPR033756","Flagellum site-determining protein YlxH/ Fe-S cluster assembling factor NBP35",NA,"Y"
"g22475",1223,"scaffold_228","IMPA3_DANRE","A0A3Q0J0B0","PF00459;PF09813","Inositol monophosphatase family; Coiled-coil domain-containing protein 56","IPR000760;IPR018628","Inositol monophosphatase-like; Cytochrome c oxidase assembly factor 3, mitochondrial, coiled-coil domain","GO:0046854","Y"
"g22476",1060,"scaffold_228","TFB1M_XENTR","T1HMC6","PF00398","Ribosomal RNA adenine dimethylase","IPR001737","Ribosomal RNA adenine methyltransferase KsgA/Erm",NA,"Y"
"g22477",1402,"scaffold_228","TEKT3_HUMAN","A0A2P8XCN1","PF03148","Tektin family",NA,NA,NA,"Y"
"g22478",3546,"scaffold_228","GCY3E_DROME","A0A139WDK0","PF01094;PF07714;PF00211","Receptor family ligand binding region; Protein tyrosine kinase; Adenylate and Guanylate cyclase catalytic domain","IPR001828;IPR001245;IPR001054","Receptor, ligand binding region; Serine-threonine/tyrosine-protein kinase, catalytic domain; Adenylyl cyclase class-3/4/guanylyl cyclase","GO:0004672;GO:0006468;GO:0009190;GO:0016849;GO:0035556","Y"
"g22479",775,"scaffold_228","USB1_MOUSE","A0A452RQ71","PF09749","Uncharacterised conserved protein","IPR027521","U6 snRNA phosphodiesterase Usb1","GO:0004518;GO:0034477","Y"
"g2248",1822,"scaffold_14",NA,NA,NA,NA,NA,NA,NA,"N"
"g22480",1242,"scaffold_228","AATM_HORSE","A0A067QQX8","PF00155","Aminotransferase class I and II","IPR004839","Aminotransferase, class I/classII","GO:0009058;GO:0030170","Y"
"g22481",1537,"scaffold_228","RAB38_HUMAN,RAB32_HUMAN","A0A2J7Q8V1","PF00071","Ras family","IPR001806","Small GTPase","GO:0003924;GO:0005525","Y"
"g22482",1312,"scaffold_228","MOCS3_CULQU","A0A087ZMT7","PF00899;PF00581","ThiF family; Rhodanese-like domain","IPR000594;IPR001763","THIF-type NAD/FAD binding fold; Rhodanese-like domain","GO:0008641","Y"
"g22483",1046,"scaffold_228","GALT_DROME","A0A2P8YE37","PF02744;PF01087","Galactose-1-phosphate uridyl transferase, C-terminal domain; Galactose-1-phosphate uridyl transferase, N-terminal domain","IPR005850;IPR005849","Galactose-1-phosphate uridyl transferase, C-terminal; Galactose-1-phosphate uridyl transferase, N-terminal","GO:0006012;GO:0008108","Y"
"g22484",2755,"scaffold_228","PK3C3_MOUSE","A0A1S4EPX6","PF00613;PF00454;PF00792","Phosphoinositide 3-kinase family, accessory domain (PIK domain); Phosphatidylinositol 3- and 4-kinase; Phosphoinositide 3-kinase C2","IPR001263;IPR000403;IPR002420","Phosphoinositide 3-kinase, accessory (PIK) domain; Phosphatidylinositol 3-/4-kinase, catalytic domain; Phosphatidylinositol 3-kinase, C2 domain",NA,"Y"
"g22485",4133,"scaffold_228","ATP7B_SHEEP","A0A2J7RI54","PF00403;PF00122;PF00702","Heavy-metal-associated domain; E1-E2 ATPase; haloacid dehalogenase-like hydrolase","IPR006121","Heavy metal-associated domain, HMA","GO:0030001;GO:0046872","Y"
"g22486",520,"scaffold_228",NA,NA,NA,NA,NA,NA,NA,"N"
"g22487",416,"scaffold_228","RL23_DROME","E0VVN2","PF00238","Ribosomal protein L14p/L23e","IPR000218","Ribosomal protein L14P","GO:0003735;GO:0005840;GO:0006412","Y"
"g22488",1634,"scaffold_228",NA,"A0A482WU31","PF09531","Nucleoporin protein Ndc1-Nup","IPR019049","Nucleoporin protein Ndc1-Nup",NA,"Y"
"g22489",341,"scaffold_228","ELOB_HUMAN","A0A482XDN8",NA,NA,NA,NA,NA,"Y"
"g2249",496,"scaffold_14",NA,NA,NA,NA,NA,NA,NA,"N"
"g22490",3249,"scaffold_228","WDR20_HUMAN","A0A067RQ15","PF00130;PF00620;PF00400","Phorbol esters/diacylglycerol binding domain (C1 domain); RhoGAP domain; WD domain, G-beta repeat","IPR002219;IPR000198;IPR001680","Protein kinase C-like, phorbol ester/diacylglycerol-binding domain; Rho GTPase-activating protein domain; WD40 repeat","GO:0035556;GO:0007165;GO:0005515","Y"
"g22491",589,"scaffold_228",NA,NA,NA,NA,NA,NA,NA,"N"
"g22492",971,"scaffold_228","BDH_RAT","A0A2P8YI12","PF00106","short chain dehydrogenase","IPR002347","Short-chain dehydrogenase/reductase SDR",NA,"Y"
"g22493",891,"scaffold_228","ZFPL1_XENTR","A0A2P8YI21",NA,NA,NA,NA,NA,"Y"
"g22494",1210,"scaffold_228",NA,"A0A482W5W6,A0A2P8YXE8","PF07716","Basic region leucine zipper","IPR004827","Basic-leucine zipper domain","GO:0003700;GO:0006355","Y"
"g22495",332,"scaffold_228",NA,NA,NA,NA,NA,NA,NA,"N"
"g22496",341,"scaffold_228",NA,NA,NA,NA,NA,NA,NA,"N"
"g22497",334,"scaffold_228",NA,NA,NA,NA,NA,NA,NA,"N"
"g22498",904,"scaffold_228",NA,NA,NA,NA,NA,NA,NA,"N"
"g22499",1277,"scaffold_228",NA,"A0A1S3D4D8","PF06031","SERTA motif","IPR009263","SERTA domain",NA,"Y"
"g225",1372,"scaffold_360",NA,NA,NA,NA,NA,NA,NA,"N"
"g2250",746,"scaffold_14",NA,NA,NA,NA,NA,NA,NA,"N"
"g22500",315,"scaffold_228",NA,NA,NA,NA,NA,NA,NA,"N"
"g22501",3683,"scaffold_228","DPP3_DROME","K7J260","PF02230;PF03571","Phospholipase/Carboxylesterase; Peptidase family M49","IPR003140;IPR039461","Phospholipase/carboxylesterase/thioesterase; Peptidase family M49","GO:0016787","Y"
"g22502",861,"scaffold_228","LYPL1_MOUSE","A0A2A4J2A6","PF02230","Phospholipase/Carboxylesterase","IPR003140","Phospholipase/carboxylesterase/thioesterase","GO:0016787","Y"
"g22503",875,"scaffold_228","LYPL1_MOUSE","A0A1I8N9S9","PF02230","Phospholipase/Carboxylesterase","IPR003140","Phospholipase/carboxylesterase/thioesterase","GO:0016787","Y"
"g22504",850,"scaffold_228","LYPL1_HUMAN","A0A182XX28","PF02230","Phospholipase/Carboxylesterase","IPR003140","Phospholipase/carboxylesterase/thioesterase","GO:0016787","Y"
"g22505",896,"scaffold_228","LYPL1_PONAB","A0A1W4WU75","PF02230","Phospholipase/Carboxylesterase","IPR003140","Phospholipase/carboxylesterase/thioesterase","GO:0016787","Y"
"g22506",800,"scaffold_228","LYPL1_HUMAN","F6ZXQ9","PF02230","Phospholipase/Carboxylesterase","IPR003140","Phospholipase/carboxylesterase/thioesterase","GO:0016787","Y"
"g22507",833,"scaffold_228","LYPL1_PONAB","A0A1S3K9W1","PF02230","Phospholipase/Carboxylesterase","IPR003140","Phospholipase/carboxylesterase/thioesterase","GO:0016787","Y"
"g22508",839,"scaffold_228","LYPL1_HUMAN","A0A1W4WU75","PF02230","Phospholipase/Carboxylesterase","IPR003140","Phospholipase/carboxylesterase/thioesterase","GO:0016787","Y"
"g22509",1019,"scaffold_228","INSM1_XENTR","A0A482XA19","PF13912;PF00096","C2H2-type zinc finger; Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","GO:0003676","Y"
"g2251",629,"scaffold_14",NA,NA,NA,NA,NA,NA,NA,"N"
"g22510",568,"scaffold_228",NA,NA,NA,NA,NA,NA,NA,"N"
"g22511",598,"scaffold_527",NA,NA,"PF00010","Helix-loop-helix DNA-binding domain","IPR011598","Myc-type, basic helix-loop-helix (bHLH) domain","GO:0046983","Y"
"g22512",4746,"scaffold_527","C2D2A_HUMAN","A0A2J7Q8N3","PF00168;PF15625;PF17661","C2 domain; CC2D2A N-terminal C2 domain; Family of unknown function (DUF5523)","IPR000008;IPR028928;IPR041510","C2 domain; CC2D2A, N-terminal, C2 domain; Domain of unknown function (DUF5523)",NA,"Y"
"g22513",1392,"scaffold_527",NA,"A0A1W4WVL8","PF00071","Ras family","IPR001806","Small GTPase","GO:0003924;GO:0005525","Y"
"g22514",2286,"scaffold_527","DDX17_MOUSE","A0A0L7QR13","PF00270;PF00271","DEAD/DEAH box helicase; Helicase conserved C-terminal domain","IPR011545;IPR001650","DEAD/DEAH box helicase domain; Helicase, C-terminal","GO:0003676;GO:0005524","Y"
"g22515",1826,"scaffold_527",NA,NA,"PF00023;PF12796;PF07525","Ankyrin repeat; Ankyrin repeats (3 copies); SOCS box","IPR002110;IPR020683;IPR001496","Ankyrin repeat; Ankyrin repeat-containing domain; SOCS box domain","GO:0005515","Y"
"g22516",552,"scaffold_527","ATP5H_DROME","A0A182WDL3","PF05873","ATP synthase D chain, mitochondrial (ATP5H)","IPR008689","ATP synthase, F0 complex, subunit D, mitochondrial","GO:0000276;GO:0015078;GO:0015986","Y"
"g22517",267,"scaffold_527",NA,NA,NA,NA,NA,NA,NA,"N"
"g22518",3589,"scaffold_527","ZCH18_RAT","J9JSV4","PF18044","CCCH-type zinc finger","IPR041367","E3 ligase, CCCH-type zinc finger",NA,"Y"
