"gene","gene_len","seq","blast","diamond","interpro","anno"
"g18667",630,"scaffold_45",NA,"A0A2P8YK10",NA,"Y"
"g18668",457,"scaffold_45",NA,NA,NA,"N"
"g18669",336,"scaffold_45",NA,NA,NA,"N"
"g1867",595,"scaffold_975",NA,NA,NA,"N"
"g18670",4419,"scaffold_45","COPIA_DROME","J9KJ72","gag-polypeptide of LTR copia-type,Reverse transcriptase (RNA-dependent DNA polymerase),GAG-pre-integrase domain,Integrase core domain","Y"
"g18671",773,"scaffold_45","IMPL2_DROME","E0VX35","Immunoglobulin I-set domain,Immunoglobulin domain","Y"
"g18672",258,"scaffold_45",NA,NA,NA,"N"
"g18673",322,"scaffold_45",NA,NA,NA,"N"
"g18674",413,"scaffold_45",NA,NA,NA,"N"
"g18675",416,"scaffold_45",NA,NA,NA,"N"
"g18676",698,"scaffold_45",NA,NA,NA,"N"
"g18677",962,"scaffold_45",NA,NA,NA,"N"
"g18678",1322,"scaffold_45",NA,NA,"7tm Odorant receptor","Y"
"g18679",932,"scaffold_45",NA,NA,NA,"N"
"g1868",122,"scaffold_1564",NA,NA,"ATP-NAD kinase","Y"
"g18680",1127,"scaffold_45",NA,NA,"7tm Odorant receptor","Y"
"g18681",254,"scaffold_45",NA,NA,NA,"N"
"g18682",1356,"scaffold_45",NA,NA,NA,"N"
"g18683",2723,"scaffold_45","DDR2_HUMAN","A0A067R7Z8","Protein tyrosine kinase,F5/8 type C domain","Y"
"g18684",229,"scaffold_45",NA,NA,NA,"N"
"g18685",464,"scaffold_45",NA,NA,NA,"N"
"g18686",782,"scaffold_45",NA,NA,NA,"N"
"g18687",1689,"scaffold_45",NA,NA,"DNA/RNA non-specific endonuclease","Y"
"g18688",526,"scaffold_45",NA,NA,NA,"N"
"g18689",643,"scaffold_45",NA,NA,NA,"N"
"g1869",216,"scaffold_1564",NA,NA,NA,"N"
"g18690",894,"scaffold_45","FBX6_RAT","A0A2J7QSX4","F-box domain,F-box associated region","Y"
"g18691",268,"scaffold_45",NA,NA,NA,"N"
"g18692",2067,"scaffold_45",NA,"E7NTA0","Predicted AAA-ATPase","Y"
"g18693",1997,"scaffold_45",NA,"A0A166CBV3","Predicted AAA-ATPase","Y"
"g18694",2088,"scaffold_45",NA,"A0A3R6LY08","Predicted AAA-ATPase","Y"
"g18695",531,"scaffold_279",NA,NA,"Ankyrin repeat","Y"
"g18696",808,"scaffold_279",NA,NA,NA,"N"
"g18697",1939,"scaffold_279","ESPN_MOUSE","E0VN93,A0A139WDK3","Ankyrin repeats (3 copies)","Y"
"g18698",785,"scaffold_279",NA,"J9K5R5","FR47-like protein","Y"
"g18699",854,"scaffold_279",NA,"J9K5R5","FR47-like protein","Y"
"g187",1958,"scaffold_360",NA,NA,NA,"N"
"g1870",653,"scaffold_1825",NA,NA,NA,"N"
"g18700",2268,"scaffold_279",NA,NA,"Predicted AAA-ATPase","Y"
"g18701",1492,"scaffold_279",NA,"A0A084WFX7,A0A182F6A8",NA,"Y"
"g18702",829,"scaffold_279","CLVS2_DANRE","A0A482WHI3","CRAL/TRIO domain","Y"
"g18703",1251,"scaffold_279","CCNL2_RAT","K7J2V5,F5HMJ3","Cyclin, C-terminal domain,Cyclin, N-terminal domain","Y"
"g18704",2213,"scaffold_279","CAN11_MOUSE","X1WIQ5","Calpain large subunit, domain III,Calpain family cysteine protease","Y"
"g18705",256,"scaffold_279",NA,NA,NA,"N"
"g18706",615,"scaffold_279",NA,"A0A067RCS6",NA,"Y"
"g18707",671,"scaffold_279","RT07_DROME","A0A067QQP8","Ribosomal protein S7p/S5e","Y"
"g18708",866,"scaffold_279","MSTAA_DROME","A0A482XV61","SET domain","Y"
"g18709",1576,"scaffold_279",NA,"A0A482XTF9","SET domain","Y"
"g1871",643,"scaffold_1825",NA,NA,"BED zinc finger","Y"
"g18710",318,"scaffold_279","AVE_DROME","A0A482XD74","SAM domain (Sterile alpha motif)","Y"
"g18711",3811,"scaffold_279","SC31A_DANRE","A0A139WE36","WD domain, G-beta repeat","Y"
"g18712",1242,"scaffold_279","WBP11_DANRE","A0A482XFT2","WW domain binding protein 11","Y"
"g18713",317,"scaffold_279","THIO2_DROYA","A0A088AAY9","Thioredoxin","Y"
"g18714",3485,"scaffold_279","MED24_AEDAE","A0A482WXH8","TIP41-like family,Mediator complex subunit 24 N-terminal","Y"
"g18715",444,"scaffold_279",NA,NA,NA,"N"
"g18716",1664,"scaffold_114","COPIA_DROME","A0A087SVE4","Reverse transcriptase (RNA-dependent DNA polymerase)","Y"
"g18717",1152,"scaffold_114",NA,"A0A067RHT4","Trypsin","Y"
"g18718",847,"scaffold_114","ELOV6_MOUSE","A0A2P8Y8F0","GNS1/SUR4 family","Y"
"g18719",2572,"scaffold_114","ZBED4_MOUSE","A0A1X7TGY6","hAT family C-terminal dimerisation region","Y"
"g1872",1403,"scaffold_1128","ABCGN_DICDI","J9K2Q6","ABC transporter,ABC-2 family transporter protein","Y"
"g18720",523,"scaffold_114",NA,NA,NA,"N"
"g18721",400,"scaffold_114",NA,NA,NA,"N"
"g18722",960,"scaffold_114",NA,NA,NA,"N"
"g18723",706,"scaffold_114",NA,NA,NA,"N"
"g18724",586,"scaffold_114",NA,NA,NA,"N"
"g18725",409,"scaffold_114",NA,NA,NA,"N"
"g18726",1892,"scaffold_114",NA,"A0A3S3UBY4","Predicted AAA-ATPase","Y"
"g18727",252,"scaffold_114",NA,NA,NA,"N"
"g18728",574,"scaffold_114",NA,NA,NA,"N"
"g18729",679,"scaffold_114",NA,NA,NA,"N"
"g1873",564,"scaffold_1120",NA,NA,NA,"N"
"g18730",700,"scaffold_114",NA,NA,NA,"N"
"g18731",688,"scaffold_114",NA,NA,NA,"N"
"g18732",2123,"scaffold_114","COPIA_DROME","A0A151TIH6","Integrase core domain,Reverse transcriptase (RNA-dependent DNA polymerase)","Y"
"g18733",730,"scaffold_114",NA,NA,NA,"N"
"g18734",652,"scaffold_114",NA,NA,NA,"N"
"g18735",649,"scaffold_114",NA,NA,NA,"N"
"g18736",532,"scaffold_114",NA,NA,NA,"N"
"g18737",604,"scaffold_114",NA,NA,NA,"N"
"g18738",790,"scaffold_114",NA,NA,NA,"N"
"g18739",811,"scaffold_114",NA,NA,NA,"N"
"g1874",242,"scaffold_1120",NA,NA,NA,"N"
"g18740",589,"scaffold_114",NA,NA,NA,"N"
"g18741",881,"scaffold_114",NA,NA,NA,"N"
"g18742",861,"scaffold_114",NA,NA,NA,"N"
"g18743",724,"scaffold_114",NA,NA,NA,"N"
"g18744",646,"scaffold_114",NA,NA,NA,"N"
"g18745",706,"scaffold_114",NA,NA,NA,"N"
"g18746",2347,"scaffold_114","TMPS9_RAT","A0A232F2M8","Trypsin,Regulatory CLIP domain of proteinases","Y"
"g18747",587,"scaffold_114",NA,NA,NA,"N"
"g18748",295,"scaffold_114",NA,NA,NA,"N"
"g18749",674,"scaffold_114",NA,NA,NA,"N"
"g1875",1539,"scaffold_1215","WDR55_AEDAE","A0A0L7R5L6","WD domain, G-beta repeat","Y"
"g18750",599,"scaffold_114",NA,NA,NA,"N"
"g18751",521,"scaffold_114",NA,NA,NA,"N"
"g18752",590,"scaffold_114",NA,NA,NA,"N"
"g18753",674,"scaffold_114",NA,NA,NA,"N"
"g18754",825,"scaffold_114",NA,NA,NA,"N"
"g18755",367,"scaffold_114",NA,NA,NA,"N"
"g18756",1311,"scaffold_114","VSP_BOMIG","J9JVY2","Trypsin,Regulatory CLIP domain of proteinases","Y"
"g18757",1417,"scaffold_114","VSP_BOMIG","J9JVY2","Regulatory CLIP domain of proteinases,Trypsin","Y"
"g18758",2422,"scaffold_114","TMPS9_RAT","A0A232F2M8","Regulatory CLIP domain of proteinases,Trypsin","Y"
"g18759",1529,"scaffold_114","VSP_BOMIG","J9JVY2","Trypsin,Regulatory CLIP domain of proteinases","Y"
"g1876",1533,"scaffold_620",NA,"D6WEX8","Predicted AAA-ATPase","Y"
"g18760",544,"scaffold_114",NA,NA,NA,"N"
"g18761",556,"scaffold_114",NA,NA,NA,"N"
"g18762",562,"scaffold_114",NA,NA,NA,"N"
"g18763",628,"scaffold_114",NA,NA,NA,"N"
"g18764",592,"scaffold_114",NA,NA,NA,"N"
"g18765",436,"scaffold_114",NA,NA,NA,"N"
"g18766",479,"scaffold_114",NA,NA,NA,"N"
"g18767",377,"scaffold_114",NA,NA,NA,"N"
"g18768",1142,"scaffold_114",NA,"A0A2P8ZLW3","Transposase IS4","Y"
"g18769",628,"scaffold_114",NA,NA,NA,"N"
"g1877",1434,"scaffold_620","T161B_MOUSE","A0A2J7RAJ4","Predicted transmembrane protein 161AB","Y"
"g18770",556,"scaffold_114",NA,NA,NA,"N"
"g18771",565,"scaffold_114",NA,NA,NA,"N"
"g18772",565,"scaffold_114",NA,NA,NA,"N"
"g18773",568,"scaffold_114",NA,NA,NA,"N"
"g18774",577,"scaffold_114",NA,NA,NA,"N"
"g18775",238,"scaffold_114",NA,NA,NA,"N"
"g18776",577,"scaffold_114",NA,NA,NA,"N"
"g18777",577,"scaffold_114",NA,NA,NA,"N"
"g18778",375,"scaffold_114",NA,NA,NA,"N"
"g18779",205,"scaffold_114",NA,NA,NA,"N"
"g1878",930,"scaffold_620","YQL5_SCHPO","C4WT46","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","Y"
"g18780",571,"scaffold_114",NA,NA,NA,"N"
"g18781",556,"scaffold_114",NA,NA,NA,"N"
"g18782",700,"scaffold_114",NA,NA,NA,"N"
"g18783",559,"scaffold_114",NA,NA,NA,"N"
"g18784",1220,"scaffold_114",NA,NA,NA,"N"
"g18785",559,"scaffold_114",NA,NA,NA,"N"
"g18786",490,"scaffold_114",NA,NA,NA,"N"
"g18787",580,"scaffold_114",NA,NA,NA,"N"
"g18788",1205,"scaffold_114","LACH_SCHAM","A0A151WZH5","Immunoglobulin I-set domain,Immunoglobulin domain","Y"
"g18789",292,"scaffold_114",NA,NA,NA,"N"
"g1879",1764,"scaffold_620","PERO_DROME","J9JLS0","Animal haem peroxidase","Y"
"g18790",430,"scaffold_114",NA,NA,NA,"N"
"g18791",200,"scaffold_114",NA,NA,NA,"N"
"g18792",454,"scaffold_114",NA,NA,"Leucine rich repeat,Leucine Rich Repeat","Y"
"g18793",2005,"scaffold_114",NA,NA,NA,"N"
"g18794",580,"scaffold_114",NA,NA,NA,"N"
"g18795",1033,"scaffold_114",NA,"D6W8S9",NA,"Y"
"g18796",439,"scaffold_114",NA,NA,NA,"N"
"g18797",263,"scaffold_1499",NA,NA,NA,"N"
"g18798",1005,"scaffold_1056",NA,NA,"Low-density lipoprotein receptor domain class A","Y"
"g18799",216,"scaffold_953",NA,NA,NA,"N"
"g188",362,"scaffold_360",NA,NA,NA,"N"
"g1880",1884,"scaffold_620","PERO_DROME","J9K1U3","Animal haem peroxidase","Y"
"g18800",1289,"scaffold_1581",NA,"J9MAL5",NA,"Y"
"g18801",851,"scaffold_711","MALT_CULPI","J9K803","Alpha amylase, catalytic domain","Y"
"g18802",2649,"scaffold_711",NA,NA,NA,"N"
"g18803",1823,"scaffold_711","PERC_DROME","J9JMG8","Animal haem peroxidase","Y"
"g18804",1312,"scaffold_558","ACOT9_MOUSE","A0A1S3D4K4",NA,"Y"
"g18805",448,"scaffold_558",NA,NA,NA,"N"
"g18806",5186,"scaffold_558","NALCN_RAT","A0A067QXN4","Ion transport protein","Y"
"g18807",752,"scaffold_558",NA,NA,NA,"N"
"g18808",1075,"scaffold_558","ODBB_BOVIN","C4WRQ3","Transketolase, C-terminal domain,Transketolase, pyrimidine binding domain","Y"
"g18809",234,"scaffold_558",NA,NA,NA,"N"
"g1881",2615,"scaffold_620","CEG1A_DROME","A0A482XTR2,A0A2J7QUF1","Putative GTPase activating protein for Arf,Ras family","Y"
"g18810",318,"scaffold_558",NA,NA,NA,"N"
"g18811",317,"scaffold_558",NA,NA,NA,"N"
"g18812",1888,"scaffold_558","TET5C_RAT","R4G8S0","Nucleotidyltransferase","Y"
"g18813",513,"scaffold_558",NA,NA,"Uncharacterised protein family (UPF0193)","Y"
"g18814",400,"scaffold_558",NA,NA,NA,"N"
"g18815",417,"scaffold_558",NA,NA,NA,"N"
"g18816",1578,"scaffold_558","SF01_HUMAN","A0A067R957","Splicing factor 1 helix-hairpin domain,KH domain,Zinc knuckle","Y"
"g18817",646,"scaffold_558","MOB1_DROME","E2C8F5","Mob1/phocein family","Y"
"g18818",1342,"scaffold_558","HNRPF_BOVIN","A0A088ABQ2","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","Y"
"g18819",1482,"scaffold_558","HNRPF_MACFA","A0A2J7QI16","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","Y"
"g1882",361,"scaffold_620",NA,NA,NA,"N"
"g18820",257,"scaffold_558",NA,NA,"Domain of unknown function (DUF4516)","Y"
"g18821",1322,"scaffold_1153",NA,NA,NA,"N"
"g18822",114,"scaffold_642",NA,NA,NA,"N"
"g18823",280,"scaffold_642",NA,NA,NA,"N"
"g18824",947,"scaffold_642",NA,NA,NA,"N"
"g18825",1451,"scaffold_487",NA,NA,NA,"N"
"g18826",1301,"scaffold_487","AC78C_DROME","J9JRH3","Adenylyl cyclase N-terminal extracellular and transmembrane region","Y"
"g18827",244,"scaffold_487",NA,NA,NA,"N"
"g18828",442,"scaffold_487",NA,NA,NA,"N"
"g18829",209,"scaffold_487",NA,NA,NA,"N"
"g1883",328,"scaffold_1222",NA,NA,"Polyprenyl synthetase","Y"
"g18830",255,"scaffold_487",NA,NA,NA,"N"
"g18831",282,"scaffold_487",NA,NA,NA,"N"
"g18832",212,"scaffold_487",NA,NA,NA,"N"
"g18833",1482,"scaffold_487",NA,NA,NA,"N"
"g18834",429,"scaffold_487",NA,NA,NA,"N"
"g18835",309,"scaffold_487",NA,NA,NA,"N"
"g18836",366,"scaffold_487","PWP2_PONAB",NA,NA,"Y"
"g18837",511,"scaffold_487",NA,"A0A067RUU4","WD domain, G-beta repeat","Y"
"g18838",918,"scaffold_487",NA,NA,NA,"N"
"g18839",795,"scaffold_487",NA,"A0A2J7QDE8","Oligosaccharyltransferase subunit Ribophorin II","Y"
"g1884",1505,"scaffold_1222","UDB37_RAT","J9K7F3","UDP-glucoronosyl and UDP-glucosyl transferase","Y"
"g18840",310,"scaffold_487",NA,NA,NA,"N"
"g18841",2762,"scaffold_487",NA,NA,NA,"N"
"g18842",3193,"scaffold_487",NA,"A0A3Q0JHJ8","MULE transposase domain","Y"
"g18843",209,"scaffold_487",NA,NA,NA,"N"
"g18844",683,"scaffold_487",NA,NA,"Family of unknown function (DUF5641)","Y"
"g18845",2014,"scaffold_586","KHDR3_HUMAN","A0A482WIH1","N-acetylmuramoyl-L-alanine amidase,KH domain","Y"
"g18846",1086,"scaffold_586","GNAS_HOMAM","A0A482X9E0","G-protein alpha subunit","Y"
"g18847",254,"scaffold_1143",NA,NA,NA,"N"
"g18848",1171,"scaffold_172",NA,NA,NA,"N"
"g18849",1220,"scaffold_172",NA,NA,NA,"N"
"g1885",3570,"scaffold_546","SARM1_DROME","A0A482XFL7","SAM domain (Sterile alpha motif),TIR domain","Y"
"g18850",1319,"scaffold_172",NA,NA,NA,"N"
"g18851",1412,"scaffold_172",NA,NA,NA,"N"
"g18852",289,"scaffold_172",NA,NA,NA,"N"
"g18853",1381,"scaffold_172",NA,"A0A2A3EQM5","Peptidase family M13","Y"
"g18854",354,"scaffold_172",NA,NA,NA,"N"
"g18855",1467,"scaffold_172","TBX1A_XENLA","J9JNT4","T-box","Y"
"g18856",205,"scaffold_172",NA,NA,NA,"N"
"g18857",1661,"scaffold_172","KLH20_XENLA","A0A1L8HJV7","BTB And C-terminal Kelch,BTB/POZ domain","Y"
"g18858",1235,"scaffold_172",NA,NA,NA,"N"
"g18859",2009,"scaffold_172",NA,"A0A151JP00",NA,"Y"
"g1886",1391,"scaffold_546","NLK_CANLF","A0A482WWV5","Haspin like kinase domain,Protein kinase domain","Y"
"g18860",1084,"scaffold_172",NA,"A0A1S3D130","TM2 domain,DnaJ domain","Y"
"g18861",964,"scaffold_172",NA,NA,NA,"N"
"g18862",406,"scaffold_172",NA,NA,NA,"N"
"g18863",1450,"scaffold_172","ESS2_DROME","A0A1W4X9M2","Nuclear protein Es2","Y"
"g18864",343,"scaffold_172",NA,NA,NA,"N"
"g18865",277,"scaffold_172",NA,NA,NA,"N"
"g18866",322,"scaffold_172",NA,NA,NA,"N"
"g18867",564,"scaffold_172",NA,NA,NA,"N"
"g18868",450,"scaffold_172",NA,NA,NA,"N"
"g18869",3683,"scaffold_172","SYIC_HUMAN","A0A2P8XI44","Anticodon-binding domain of tRNA,tRNA synthetases class I (I, L, M and V)","Y"
"g1887",2710,"scaffold_546",NA,"T1HN09","BTB/POZ domain","Y"
"g18870",558,"scaffold_172",NA,NA,NA,"N"
"g18871",3591,"scaffold_172","MESH_BOMMO","J9JV68","AMOP domain,Sushi repeat (SCR repeat),von Willebrand factor type D domain,Nidogen-like","Y"
"g18872",1849,"scaffold_172","TTCA_PECCP","A0A482WVV3","PP-loop family","Y"
"g18873",2306,"scaffold_172",NA,"J9JRT4","Aminotransferase class-V","Y"
"g18874",387,"scaffold_172",NA,NA,"RIB43A","Y"
"g18875",1064,"scaffold_172","HDA11_HUMAN","A0A2P8XLX9","Histone deacetylase domain","Y"
"g18876",1020,"scaffold_172","EKI2_HUMAN","T1IA39","Choline/ethanolamine kinase","Y"
"g18877",1753,"scaffold_172","RBM28_MOUSE","A0A2J7PYH9","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","Y"
"g18878",1744,"scaffold_172","PAX6_RAT,PAX6_BOVIN","A0A2J7PYX8","'Paired box' domain,Homeodomain","Y"
"g18879",1933,"scaffold_172","ANS1B_HUMAN","A0A2J7PZ07,A0A482X8A7","Phosphotyrosine interaction domain (PTB/PID),Ankyrin repeats (3 copies),SAM domain (Sterile alpha motif)","Y"
"g1888",1085,"scaffold_546",NA,NA,NA,"N"
"g18880",928,"scaffold_172",NA,NA,NA,"N"
"g18881",247,"scaffold_172",NA,NA,NA,"N"
"g18882",526,"scaffold_172",NA,NA,NA,"N"
"g18883",623,"scaffold_172",NA,NA,NA,"N"
"g18884",2262,"scaffold_172",NA,"A0A3M7R5S4","Predicted AAA-ATPase","Y"
"g18885",437,"scaffold_425",NA,NA,NA,"N"
"g18886",1941,"scaffold_425",NA,NA,"Predicted AAA-ATPase","Y"
"g18887",4880,"scaffold_425","ITA2_DROME","A0A1S4EQ52","FG-GAP repeat,Integrin alpha","Y"
"g18888",209,"scaffold_425",NA,NA,NA,"N"
"g18889",3223,"scaffold_425","ITA2_DROME","A0A1S4EQ52","FG-GAP repeat,Integrin alpha","Y"
"g1889",1063,"scaffold_546",NA,NA,NA,"N"
"g18890",3220,"scaffold_425","ITA2_DROME","E0VVR4","Integrin alpha,FG-GAP repeat","Y"
"g18891",3507,"scaffold_425","ITA2_DROME","A0A1S4EQ52","FG-GAP repeat,Integrin alpha","Y"
"g18892",3504,"scaffold_425","ITA2_DROME","A0A1S4EQ52","FG-GAP repeat,Integrin alpha","Y"
"g18893",1922,"scaffold_425",NA,"A0A3M7R5S4","Predicted AAA-ATPase","Y"
"g18894",647,"scaffold_425","MSRA_DROME","A0A067RBH2","Peptide methionine sulfoxide reductase","Y"
"g18895",224,"scaffold_1637",NA,NA,NA,"N"
"g18896",482,"scaffold_1524",NA,NA,NA,"N"
"g18897",2303,"scaffold_1524",NA,"J9M6P5","Integrase core domain","Y"
"g18898",307,"scaffold_846",NA,NA,NA,"N"
"g18899",291,"scaffold_1628",NA,NA,"Carboxylesterase family","Y"
"g189",1120,"scaffold_360",NA,NA,NA,"N"
"g1890",785,"scaffold_546",NA,NA,"Transcription factor Iwr1","Y"
"g18900",2096,"scaffold_144",NA,"A0A067QZ37",NA,"Y"
"g18901",446,"scaffold_144",NA,NA,NA,"N"
"g18902",2687,"scaffold_144","EXT3_DROME","X1WRQ0","Exostosin family,Glycosyl transferase family 64 domain","Y"
"g18903",1219,"scaffold_144","SNX4_BOVIN","A0A482XPP7","PX domain","Y"
"g18904",206,"scaffold_144",NA,NA,NA,"N"
"g18905",1155,"scaffold_144",NA,"A0A0M9A6S9",NA,"Y"
"g18906",727,"scaffold_144",NA,NA,NA,"N"
"g18907",1599,"scaffold_144","XYLB_HUMAN","J9JX02","FGGY family of carbohydrate kinases, C-terminal domain,FGGY family of carbohydrate kinases, N-terminal domain","Y"
"g18908",4811,"scaffold_144","TLN2_HUMAN","A0A3Q0ILZ7","N-terminal or F0 domain of Talin-head FERM,FERM central domain,FERM N-terminal domain,Vinculin Binding Site,Talin, middle domain,I/LWEQ domain,PTB domain (IRS-1 type)","Y"
"g18909",620,"scaffold_144",NA,"J9K038","Phospholipase A2","Y"
"g1891",1034,"scaffold_546","HEM2_PONAB","A0A088ACF3","Delta-aminolevulinic acid dehydratase","Y"
"g18910",331,"scaffold_144",NA,NA,NA,"N"
"g18911",566,"scaffold_144",NA,NA,NA,"N"
"g18912",652,"scaffold_144","CHMP5_DROME","A0A154PNF8","Snf7","Y"
"g18913",860,"scaffold_144","TMED7_RAT","K7JAS9","emp24/gp25L/p24 family/GOLD","Y"
"g18914",1377,"scaffold_144","SMAD6_HUMAN","J9KAL4","MH2 domain,MH1 domain","Y"
"g18915",223,"scaffold_144",NA,NA,NA,"N"
"g18916",2489,"scaffold_144","FER_DROME","A0A482XSN3","SH2 domain,Protein tyrosine kinase,Fes/CIP4, and EFC/F-BAR homology domain","Y"
"g18917",1166,"scaffold_144",NA,NA,"Tetratricopeptide repeat","Y"
"g18918",1022,"scaffold_144","GALDH_ARATH","A0A067RUJ9","Aldo/keto reductase family","Y"
"g18919",620,"scaffold_144",NA,"J9KA36",NA,"Y"
"g1892",1180,"scaffold_546",NA,"A0A067QLV3","PHD-finger,Polycomb-like MTF2 factor 2","Y"
"g18920",1306,"scaffold_144","SIG7_CAEEL","A0A087ZW83","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain),Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD","Y"
"g18921",1076,"scaffold_144","KPRB_CHICK","A0A482WX60","N-terminal domain of ribose phosphate pyrophosphokinase,Phosphoribosyl synthetase-associated domain","Y"
"g18922",1495,"scaffold_144","MARH8_MOUSE","J9JT55","RING-variant domain","Y"
"g18923",274,"scaffold_144",NA,NA,"RNA polymerase Rpb3/Rpb11 dimerisation domain","Y"
"g18924",1689,"scaffold_144","TREA_PIMHY","J9K3T4","Trehalase","Y"
"g18925",1752,"scaffold_144","TREA_PIMHY","J9K3T4","Trehalase","Y"
"g18926",1758,"scaffold_144","TREA_PIMHY","J9K3T4","Trehalase","Y"
"g18927",222,"scaffold_144",NA,NA,NA,"N"
"g18928",278,"scaffold_144",NA,NA,NA,"N"
"g18929",1146,"scaffold_144","AR_BOMMO","A0A2J7QE80","7 transmembrane receptor (rhodopsin family)","Y"
"g1893",1437,"scaffold_546",NA,"J9JL93","Helix-turn-helix of DDE superfamily endonuclease,DDE superfamily endonuclease,THAP domain","Y"
"g18930",8546,"scaffold_144","MYO15_HUMAN,MYO15_MOUSE","J9K3L7","IQ calmodulin-binding motif,MyTH4 domain,Myosin head (motor domain),FERM central domain","Y"
"g18931",1085,"scaffold_144",NA,"A0A1S3D7N6",NA,"Y"
"g18932",244,"scaffold_144",NA,NA,NA,"N"
"g18933",1572,"scaffold_144",NA,NA,NA,"N"
"g18934",1904,"scaffold_144","CSKI2_MOUSE","J9JLM8","SAM domain (Sterile alpha motif)","Y"
"g18935",5792,"scaffold_2119","TF26_SCHPO","A0A2J7PRQ5","Reverse transcriptase (RNA-dependent DNA polymerase),Integrase zinc binding domain,Integrase core domain,RNase H-like domain found in reverse transcriptase","Y"
"g18936",410,"scaffold_1592",NA,NA,NA,"N"
"g18937",279,"scaffold_1592",NA,NA,NA,"N"
"g18938",947,"scaffold_1184",NA,NA,NA,"N"
"g18939",240,"scaffold_1184",NA,NA,NA,"N"
"g1894",1016,"scaffold_546",NA,NA,NA,"N"
"g18940",534,"scaffold_1813",NA,NA,"FLYWCH zinc finger domain","Y"
"g18941",6459,"scaffold_465","LMTK2_HUMAN","A0A482XCV2","Protein tyrosine kinase","Y"
"g18942",1289,"scaffold_465",NA,"D2A339","Phage integrase family","Y"
"g18943",223,"scaffold_465",NA,NA,NA,"N"
"g18944",2594,"scaffold_465","ZN598_MOUSE","A0A2A3ECD6",NA,"Y"
"g18945",1453,"scaffold_465","ALG11_MOUSE","A0A1S3CU04","Glycosyl transferases group 1,ALG11 mannosyltransferase N-terminus","Y"
"g18946",2417,"scaffold_465","EFR3_DROME","A0A067R5J2",NA,"Y"
"g18947",1313,"scaffold_465","COQ6_XENTR","J9K1P9","FAD binding domain","Y"
"g18948",4873,"scaffold_465","ADA10_PIG","X1WIU2","Metallo-peptidase family M12B Reprolysin-like,Disintegrin,Reprolysin family propeptide","Y"
"g18949",1557,"scaffold_465","LILI_DROME","A0A2J7RAF3","LMBR1-like membrane protein","Y"
"g1895",158,"scaffold_1263",NA,NA,NA,"N"
"g18950",1009,"scaffold_465","OTU1_DROPS","A0A482XIH8","OTU-like cysteine protease","Y"
"g18951",353,"scaffold_465",NA,NA,NA,"N"
"g18952",219,"scaffold_465",NA,NA,"Neurotransmitter-gated ion-channel ligand binding domain","Y"
"g18953",1259,"scaffold_163","MIY4B_HUMAN","A0A2J7QLE7","Domain of unknown function (DUF4205)","Y"
"g18954",625,"scaffold_163",NA,NA,"hAT family C-terminal dimerisation region","Y"
"g18955",2076,"scaffold_163",NA,"J9LL23",NA,"Y"
"g18956",272,"scaffold_163",NA,NA,NA,"N"
"g18957",469,"scaffold_163",NA,NA,NA,"N"
"g18958",2053,"scaffold_163","MCCA_RAT","A0A026WX95","Carbamoyl-phosphate synthase L chain, ATP binding domain,Biotin-requiring enzyme,Biotin carboxylase C-terminal domain,Biotin carboxylase, N-terminal domain","Y"
"g18959",257,"scaffold_163",NA,NA,NA,"N"
"g1896",1517,"scaffold_741",NA,"A0A3Q0JHQ5",NA,"Y"
"g18960",1781,"scaffold_163","NOL9_DROME","A0A2J7REF4","mRNA cleavage and polyadenylation factor CLP1 P-loop","Y"
"g18961",1768,"scaffold_163","CALYP_AEDAE","A0A482WFR3","Ubiquitin carboxyl-terminal hydrolase, family 1,Ubiquitin carboxyl-terminal hydrolases","Y"
"g18962",316,"scaffold_163",NA,NA,NA,"N"
"g18963",257,"scaffold_163",NA,NA,NA,"N"
"g18964",801,"scaffold_163","W11B1_XENTR","A0A2J7QLI8","wnt family","Y"
"g18965",799,"scaffold_163",NA,NA,NA,"N"
"g18966",1195,"scaffold_163",NA,NA,NA,"N"
"g18967",603,"scaffold_163","WNT16_MOUSE","A0A1S3DA28","wnt family","Y"
"g18968",424,"scaffold_163",NA,NA,NA,"N"
"g18969",1305,"scaffold_163","PCBP3_HUMAN,PCBP3_MOUSE","A0A2A3E5Y9,A0A2J7QDL2","KH domain","Y"
"g1897",1257,"scaffold_245","SPOP_XENTR","R4G7P9","BTB/POZ domain","Y"
"g18970",1784,"scaffold_163",NA,"E0VYF5","Immunoglobulin I-set domain,CD80-like C2-set immunoglobulin domain,Immunoglobulin domain","Y"
"g18971",250,"scaffold_163",NA,NA,NA,"N"
"g18972",2213,"scaffold_163",NA,"J9LG75","DDE superfamily endonuclease","Y"
"g18973",642,"scaffold_163","MAL2_DROME","A0A1D2MLG5","Alpha amylase, catalytic domain","Y"
"g18974",642,"scaffold_163","MAL2_DROME","A0A423TJ01","Alpha amylase, catalytic domain","Y"
"g18975",636,"scaffold_163","MAL2_DROME","A0A423TJ01","Alpha amylase, catalytic domain","Y"
